movie_id,movie_rating_avg,movie_rating_no,movie_title,movie_year,user_rated_day,user_rated_month,user_rated_year,user_rating,user_url
110155,"7,4",4 550,Szalony Piotruś,1965,30,1,2018,8,https://www.filmweb.pl/user/sogadite/films?page=1
743459,"6,9",16 909,To tylko koniec świata,2016,2,7,2017,7,https://www.filmweb.pl/user/sogadite/films?page=1
33128,"7,8",103 112,Życie za życie,2003,22,9,2019,8,https://www.filmweb.pl/user/olazimniak/films?page=1
836600,"7,3",90 432,Dwóch papieży,2019,21,1,2020,8,https://www.filmweb.pl/user/gfhfygyh/films?page=1
818090,"7,5",87 159,Historia małżeńska,2019,21,1,2020,7,https://www.filmweb.pl/user/gfhfygyh/films?page=1
33246,"7,4",88 763,Chicago,2002,3,12,2019,0,https://www.filmweb.pl/user/gfhfygyh/films?page=1
719889,"7,1",75 982,Player One,2018,3,2,2020,8,https://www.filmweb.pl/user/Xerej/films?page=1
399848,"6,6",5 108,Podróże w czasie: najczęściej zadawane pytania,2009,3,2,2020,7,https://www.filmweb.pl/user/Xerej/films?page=1
730659,"6,7",82 321,Fantastyczne zwierzęta: Zbrodnie Grindelwalda,2018,1,2,2020,6,https://www.filmweb.pl/user/Xerej/films?page=1
760429,"7,6",150 736,Deadpool 2,2018,4,6,2018,9,https://www.filmweb.pl/user/Naxori/films?page=1
536242,"7,6",48 750,Król rozrywki,2017,29,4,2018,8,https://www.filmweb.pl/user/Naxori/films?page=1
682272,"7,3",184 241,Kingsman: Tajne służby,2014,1,3,2020,8,https://www.filmweb.pl/user/krzysztof1210/films?page=1
5994,"6,1",283 644,Głupi i głupszy,1994,1,3,2020,7,https://www.filmweb.pl/user/krzysztof1210/films?page=1
812540,"5,6",11 783,Piłsudski,2019,1,3,2020,8,https://www.filmweb.pl/user/krzysztof1210/films?page=1
144,"7,4",299 848,Piąty element,1997,28,7,2016,8,https://www.filmweb.pl/user/hubert_kowalski10/films?page=1
122541,"7,6",355 389,Iron Man,2008,28,7,2016,8,https://www.filmweb.pl/user/hubert_kowalski10/films?page=1
8823,"7,4",321 398,Powrót do przyszłości,1985,28,7,2016,8,https://www.filmweb.pl/user/hubert_kowalski10/films?page=1
375629,"7,9",345 764,Interstellar,2014,18,4,2018,7,https://www.filmweb.pl/user/Ayvynn/films?page=1
139825,"7,8",57 094,Hotel Ruanda,2004,18,4,2018,6,https://www.filmweb.pl/user/Ayvynn/films?page=1
664974,"6,8",31 971,Frank,2014,18,4,2018,8,https://www.filmweb.pl/user/Ayvynn/films?page=1
756160,"7,5",62 458,Faworyta,2018,16,2,2019,8,https://www.filmweb.pl/user/MartynaRajca/films?page=1
809630,"8,2",175 240,Green Book,2018,3,2,2019,6,https://www.filmweb.pl/user/MartynaRajca/films?page=1
804966,"8,0",6 875,The Dawn Wall,2017,3,2,2019,9,https://www.filmweb.pl/user/MartynaRajca/films?page=1
746114,"6,5",97 338,Morderstwo w Orient Expressie,2017,8,1,2018,6,https://www.filmweb.pl/user/MrDeath19/films?page=1
716735,"6,0",29 615,Gra Geralda,2017,6,1,2018,7,https://www.filmweb.pl/user/MrDeath19/films?page=1
671049,"6,9",134 822,Gwiezdne wojny: Ostatni Jedi,2017,13,12,2017,0,https://www.filmweb.pl/user/MrDeath19/films?page=1
549085,"6,7",84 299,Aquaman,2018,4,3,2020,6,https://www.filmweb.pl/user/Kpilarsky/films?page=1
707286,"7,2",70 912,Co robimy w ukryciu,2014,18,10,2016,6,https://www.filmweb.pl/user/Azater/films?page=1
572639,"7,6",137 593,Charlie,2012,30,12,2013,8,https://www.filmweb.pl/user/thejustinejane/films?page=1
627599,"7,3",271 813,Igrzyska śmierci: W pierścieniu ognia,2013,30,12,2013,8,https://www.filmweb.pl/user/thejustinejane/films?page=1
539,"7,7",151 722,Mulan,1998,30,11,2013,9,https://www.filmweb.pl/user/thejustinejane/films?page=1
556864,"7,6",263 883,Sherlock Holmes: Gra cieni,2011,30,11,2013,8,https://www.filmweb.pl/user/thejustinejane/films?page=1
842425,"4,5",61 875,W lesie dziś nie zaśnie nikt,2020,20,3,2020,3,https://www.filmweb.pl/user/klawy606/films?page=1
714022,"7,4",125 402,"Za jakie grzechy, dobry Boże?",2014,19,2,2019,6,https://www.filmweb.pl/user/mauget/films?page=1
619201,"8,0",176 975,Bohemian Rhapsody,2018,2,1,2019,8,https://www.filmweb.pl/user/mauget/films?page=1
4713,"7,5",94 544,Coś,1982,16,10,2015,7,https://www.filmweb.pl/user/Nissanfan/films?page=1
33595,"7,3",3 213,24 Hour Party People,2002,15,10,2015,7,https://www.filmweb.pl/user/Nissanfan/films?page=1
882,"7,9",224 649,Przerwana lekcja muzyki,1999,27,6,2017,7,https://www.filmweb.pl/user/sogadite/films?page=1
104077,"8,2",23 821,Baraka,1992,27,6,2017,8,https://www.filmweb.pl/user/sogadite/films?page=1
817414,"6,7",34 091,Midsommar. W biały dzień,2019,7,8,2019,6,https://www.filmweb.pl/user/olazimniak/films?page=1
756152,"7,8",78 342,Obdarowani,2017,13,2,2019,9,https://www.filmweb.pl/user/olazimniak/films?page=1
106408,"7,4",237 189,Terminal,2004,3,12,2019,5,https://www.filmweb.pl/user/gfhfygyh/films?page=1
646395,"7,4",150 460,Ona,2013,3,12,2019,9,https://www.filmweb.pl/user/gfhfygyh/films?page=1
